Color Desc,District,Enrollment Type,County,Data Set,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Row Label,Absenteeism Indicator,Change %
Orange,La Mesa-Spring Valley,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,15.80%,1.80%
Orange,Encinitas Union Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,10.30%,2.40%
Orange,Alpine Union Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,16.30%,3.40%
Orange,Jamul-Dulzura Union Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,15.60%,4.70%
Orange,Escondido Union,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,13.70%,0.60%
Orange,La Mesa-Spring Valley,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,17.10%,0.70%
Orange,San Ysidro Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,11.60%,1.60%
Orange,Cajon Valley Union,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,15.10%,2.00%
Orange,Lemon Grove,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,17.10%,2.10%
Orange,Cardiff Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,High,12.10%,5.10%
Orange,Lakeside Union Elementary (San Diego),Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,High,13.40%,0.50%
Orange,South Bay Union,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,High,15.80%,1.20%
Orange,Escondido Union,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,High,16.20%,1.50%
Orange,Lemon Grove,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,High,14.50%,2.30%
Orange,Lakeside Union Elementary (San Diego),Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Maintained,High,12.50%,-0.30%
Orange,Encinitas Union Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Maintained,High,11.50%,0.00%
Orange,Alpine Union Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Maintained,High,14.90%,0.00%
Orange,South Bay Union,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Maintained,High,16.30%,0.30%
Orange,La Mesa-Spring Valley,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,High,16.90%,0.40%
Yellow,Ramona City Unified,English Learner,San Diego,Fall 2019,Unified School District,ELL Status,currstatus,San Diego/Imperial,Declined,High,12.10%,-2.30%
Yellow,Oceanside Unified,Amer Indian,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,High,15.70%,-7.10%
Yellow,Ramona City Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined Significantly,High,14.30%,-3.30%
Orange,Santee,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,Medium,8.80%,0.50%
Orange,Chula Vista Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,Medium,9.40%,0.60%
Orange,Fallbrook Union Elementary,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Medium,9.60%,0.90%
Orange,Chula Vista Elementary,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Medium,6.30%,1.50%
Orange,San Ysidro Elementary,Black,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Medium,9.50%,2.10%
Yellow,Chula Vista Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Maintained,Medium,8.50%,0.40%
Yellow,Vallecitos Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Medium,7.30%,-0.30%
